Order ID,Purchase Date,Ship Date,Returned,Return Date,Continent,Country,City,Store ID,Store Name,Store Type,Channel,Priority,Payment Method,Promotion ID,Promotion Name,Customer ID,Customer Segment,Loyalty Tier,Salesperson ID,Salesperson Department,Product ID,SKU,Product Name,Category,Subcategory,Brand,Quantity,Unit Cost,Unit Price,Discount Amount,Tax Amount,Shipping Cost,Gross Sales,Net Sales,COGS,Gross Profit
O900013,2024-06-09,,No,,North America,United States,New York,S010,Everyday Store - New York,Warehouse,In-Store,High,Finance,NONE,No Promotion,C00097,Family,Bronze,E0049,Customer Care,P0178,SKU-100177,Local Snacks Eco,Grocery,Snacks,Local,2,16,28,0,4,0,56,56,32,24
O900014,2024-10-28,2024-11-02,No,,Africa,Kenya,Mombasa,S007,Tech & Home - Mombasa,Warehouse,Online,Normal,EFT,WEEKEND10,Weekend 10%,C00908,Budget,Bronze,E0029,New Sales,P0159,SKU-100158,Samsung Phones Max,Electronics,Phones,Samsung,1,498,704,84,93,80,704,620,498,122
O900015,2024-05-15,,No,,Africa,South Africa,Durban,S003,Everyday Store - Durban,Mall,In-Store,Normal,Cash,WEEKEND10,Weekend 10%,C00356,Budget,Bronze,E0066,Upgrades,P0048,SKU-100047,Local Household Eco,Grocery,Household,Local,1,11,15,2,2,0,15,13,11,2
O900016,2024-11-16,,No,,Africa,South Africa,Johannesburg,S001,ValueMart - Johannesburg,High Street,In-Store,Normal,Finance,CLEARANCE15,Clearance 15%,C00956,Business,Bronze,E0020,New Sales,P0085,SKU-100084,Local Kids Standard (L),Clothing,Kids,Local,2,60,73,26,18,0,146,120,120,0
O900017,2024-09-15,2024-09-17,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Online,Normal,Finance,BUNDLE12,Bundle 12%,C00150,Family,None,E0041,New Sales,P0092,SKU-100091,Apple Tablets Max,Electronics,Tablets,Apple,2,1837,2353,706,320,60,4706,4000,3674,326
O900018,2024-09-28,,No,,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,In-Store,Normal,Card,BUNDLE12,Bundle 12%,C00680,Family,Gold,E0043,Customer Care,P0055,SKU-100054,Local Snacks Eco,Grocery,Snacks,Local,2,24,40,10,10,0,80,70,48,22
O900019,2024-02-28,2024-03-03,No,,North America,United States,Chicago,S012,Main Street Retail - Chicago,Outlet,Partner,Normal,EFT,CLEARANCE15,Clearance 15%,C00493,Business,Bronze,E0032,New Sales,P0115,SKU-100114,Local Kids Premium (S),Clothing,Kids,Local,2,54,71,21,10,45,142,121,108,13
O900020,2024-06-13,,No,,North America,United States,Chicago,S012,Main Street Retail - Chicago,Outlet,In-Store,Normal,Card,NONE,No Promotion,C01042,Family,Bronze,E0058,Customer Care,P0132,SKU-100131,Local Snacks Premium,Grocery,Snacks,Local,2,21,37,0,6,0,74,74,42,32
O900021,2024-12-16,,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,In-Store,Normal,EFT,NONE,No Promotion,C00016,Family,None,E0009,New Sales,P0137,SKU-100136,Apple Phones Basic,Electronics,Phones,Apple,2,1103,1459,0,233,0,2918,2918,2206,712
O900022,2024-02-07,,No,,North America,United States,Los Angeles,S014,Tech & Home - Los Angeles,Mall,In-Store,Low,EFT,WEEKEND10,Weekend 10%,C00148,Business,Bronze,E0020,New Sales,P0166,SKU-100165,Local Men Standard (M),Clothing,Men,Local,1,66,101,12,7,0,101,89,66,23
O900023,2024-01-09,,Yes,2024-02-02,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,Normal,EFT,NONE,No Promotion,C00530,Student,Bronze,E0053,Customer Care,P0059,SKU-100058,Acer Laptops Basic,Electronics,Laptops,Acer,2,1984,2435,244,370,0,4870,4626,3968,658
O900024,2024-02-24,2024-02-27,No,,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,Online,High,Card,NONE,No Promotion,C01200,Budget,None,E0006,New Sales,P0017,SKU-100016,Russell Hobbs Kitchen Value,Home,Kitchen,Russell Hobbs,2,854,1275,51,200,45,2550,2499,1708,791
O900025,2024-07-19,,No,,North America,United States,Los Angeles,S015,Main Street Retail - Los Angeles,Warehouse,In-Store,Low,Card,BUNDLE12,Bundle 12%,C00810,Family,None,E0004,Upgrades,P0098,SKU-100097,Logitech Accessories Max,Electronics,Accessories,Logitech,4,492,872,488,240,0,3488,3000,1968,1032
O900026,2024-01-03,2024-01-08,No,,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Online,Low,Card,BUNDLE12,Bundle 12%,C00765,Budget,Bronze,E0002,Corporate,P0077,SKU-100076,HP Laptops Pro,Electronics,Laptops,HP,2,631,930,316,232,80,1860,1544,1262,282
O900027,2024-03-23,,No,,North America,United States,New York,S010,Everyday Store - New York,Warehouse,In-Store,Normal,EFT,WEEKEND10,Weekend 10%,C00705,Business,None,E0028,New Sales,P0054,SKU-100053,Dell Laptops Pro,Electronics,Laptops,Dell,1,601,736,110,50,0,736,626,601,25
O900028,2024-08-24,2024-08-30,No,,Africa,Kenya,Mombasa,S007,Tech & Home - Mombasa,Warehouse,Online,High,Finance,CLEARANCE15,Clearance 15%,C00372,Budget,Silver,E0007,Upgrades,P0030,SKU-100029,Local Kids Value (L),Clothing,Kids,Local,1,73,125,19,16,80,125,106,73,33
O900029,2024-05-25,,No,,Africa,Kenya,Mombasa,S007,Tech & Home - Mombasa,Warehouse,In-Store,Normal,EFT,NONE,No Promotion,C00998,Family,Gold,E0043,Customer Care,P0149,SKU-100148,Lenovo Tablets Plus,Electronics,Tablets,Lenovo,2,812,1136,0,341,0,2272,2272,1624,648
O900030,2024-08-07,2024-08-09,No,,North America,United States,Los Angeles,S015,Main Street Retail - Los Angeles,Warehouse,Online,Normal,Card,WEEKEND10,Weekend 10%,C00627,Family,Bronze,E0020,New Sales,P0085,SKU-100084,Local Kids Standard (L),Clothing,Kids,Local,1,60,73,7,5,0,73,66,60,6
O900031,2024-08-24,,No,,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,In-Store,High,EFT,CLEARANCE15,Clearance 15%,C00567,Family,None,E0047,Corporate,P0112,SKU-100111,Logitech Accessories Max,Electronics,Accessories,Logitech,2,1222,1667,567,221,0,3334,2767,2444,323
O900032,2024-05-14,2024-05-20,No,,Africa,South Africa,Pretoria,S004,Tech & Home - Pretoria,Warehouse,Online,Normal,Card,NONE,No Promotion,C00168,Family,None,E0036,Customer Care,P0045,SKU-100044,Dyson Cleaning Standard,Home,Cleaning,Dyson,3,642,1120,0,504,0,3360,3360,1926,1434
O900033,2024-05-13,2024-05-18,No,,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,Online,Low,Card,WEEKEND10,Weekend 10%,C01192,Family,None,E0052,Corporate,P0008,SKU-100007,Local Men Eco (L),Clothing,Men,Local,2,44,59,14,8,80,118,104,88,16
O900034,2024-01-06,,No,,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,Normal,Card,WEEKEND10,Weekend 10%,C00275,Business,None,E0060,New Sales,P0075,SKU-100074,Local Beverages Eco,Grocery,Beverages,Local,3,21,37,17,8,0,111,94,63,31
O900035,2024-03-15,,Yes,2024-04-09,Europe,United Kingdom,London,S017,ValueMart - London,High Street,In-Store,Normal,Finance,LOYALTY5,Loyalty 5%,C00914,Business,Gold,E0021,New Sales,P0036,SKU-100035,Local Household Standard,Grocery,Household,Local,3,20,27,6,6,0,81,75,60,15
O900036,2024-07-03,,No,,Europe,United Kingdom,London,S016,Everyday Store - London,Mall,In-Store,Normal,Cash,LOYALTY5,Loyalty 5%,C00129,Budget,Bronze,E0034,Corporate,P0060,SKU-100059,Local Kids Eco (L),Clothing,Kids,Local,2,89,151,24,22,0,302,278,178,100
O900037,2024-05-14,2024-05-19,No,,Africa,South Africa,Cape Town,S002,Everyday Store - Cape Town,Outlet,Online,Normal,Card,WEEKEND10,Weekend 10%,C00664,Enterprise,Gold,E0014,New Sales,P0167,SKU-100166,Belkin Accessories Plus,Electronics,Accessories,Belkin,2,510,848,220,221,80,1696,1476,1020,456
O900038,2024-07-26,,No,,North America,United States,Chicago,S012,Main Street Retail - Chicago,Outlet,In-Store,Normal,Finance,CLEARANCE15,Clearance 15%,C00160,Business,Bronze,E0067,New Sales,P0151,SKU-100150,LG Appliances Eco,Home,Appliances,LG,1,854,1122,202,74,0,1122,920,854,66
O900039,2024-05-23,,No,,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,In-Store,Normal,Card,WEEKEND10,Weekend 10%,C01028,Family,None,E0018,Corporate,P0002,SKU-100001,Local Household Value,Grocery,Household,Local,1,2,4,0,0,0,4,4,2,2
O900040,2024-09-02,2024-09-06,Yes,2024-09-04,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,Online,Normal,EFT,WEEKEND10,Weekend 10%,C00472,Business,Bronze,E0054,Corporate,P0031,SKU-100030,Samsung Phones Air,Electronics,Phones,Samsung,2,1011,1634,425,227,30,3268,2843,2022,821
O900041,2024-01-29,2024-01-31,No,,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Online,Normal,Cash,BUNDLE12,Bundle 12%,C00330,Business,Bronze,E0018,Corporate,P0147,SKU-100146,Belkin Accessories Max,Electronics,Accessories,Belkin,1,1162,2056,308,262,45,2056,1748,1162,586
O900042,2024-08-29,2024-09-05,No,,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,Partner,Normal,Card,WEEKEND10,Weekend 10%,C00039,Business,Bronze,E0037,Corporate,P0164,SKU-100163,Tefal Kitchen Standard,Home,Kitchen,Tefal,1,816,968,126,67,60,968,842,816,26
O900043,2024-11-01,,No,,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,High,EFT,NONE,No Promotion,C01047,Family,None,E0034,Corporate,P0047,SKU-100046,Bosch Cleaning Standard,Home,Cleaning,Bosch,2,774,1348,0,216,0,2696,2696,1548,1148
O900044,2024-03-17,2024-03-22,No,,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Online,Normal,Finance,LOYALTY5,Loyalty 5%,C00034,Student,None,E0026,Customer Care,P0028,SKU-100027,Local Household Eco,Grocery,Household,Local,1,28,35,4,5,0,35,31,28,3
O900045,2024-01-01,,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,In-Store,Normal,Card,LOYALTY5,Loyalty 5%,C00241,Student,None,E0012,Customer Care,P0129,SKU-100128,Belkin Accessories Air,Electronics,Accessories,Belkin,4,1558,2119,848,610,0,8476,7628,6232,1396
O900046,2024-07-14,,No,,Africa,South Africa,Cape Town,S002,Everyday Store - Cape Town,Outlet,In-Store,Normal,Wallet,BUNDLE12,Bundle 12%,C01086,Student,None,E0055,Corporate,P0179,SKU-100178,Google Phones Air,Electronics,Phones,Google,1,1497,2370,403,295,0,2370,1967,1497,470
O900047,2024-10-05,2024-10-09,No,,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Online,Normal,Card,NONE,No Promotion,C00978,Family,None,E0030,Corporate,P0066,SKU-100065,Lenovo Laptops Plus,Electronics,Laptops,Lenovo,1,721,908,0,136,45,908,908,721,187
O900048,2024-07-04,2024-07-05,No,,Africa,South Africa,Pretoria,S004,Tech & Home - Pretoria,Warehouse,Online,Normal,EFT,BUNDLE12,Bundle 12%,C00015,Business,None,E0049,Customer Care,P0134,SKU-100133,Google Phones Max,Electronics,Phones,Google,2,487,645,181,166,30,1290,1109,974,135
O900049,2024-04-14,2024-04-18,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Online,Normal,Finance,BUNDLE12,Bundle 12%,C01157,Business,None,E0047,Corporate,P0109,SKU-100108,Google Phones Max,Electronics,Phones,Google,4,1160,1948,1169,530,80,7792,6623,4640,1983
O900050,2024-07-22,2024-07-28,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Partner,Normal,Card,NONE,No Promotion,C00991,Business,Gold,E0033,Upgrades,P0143,SKU-100142,Dell Laptops Pro,Electronics,Laptops,Dell,4,1018,1343,0,430,30,5372,5372,4072,1300
O900051,2024-12-22,,No,,Africa,Kenya,Nairobi,S006,Everyday Store - Nairobi,High Street,In-Store,Normal,Card,NONE,No Promotion,C00440,Student,None,E0066,Upgrades,P0026,SKU-100025,Local Women Standard (S),Clothing,Women,Local,3,129,155,0,70,0,465,465,387,78
O900052,2024-05-14,,No,,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,In-Store,Low,Card,CLEARANCE15,Clearance 15%,C00187,Business,Silver,E0019,Customer Care,P0002,SKU-100001,Local Household Value,Grocery,Household,Local,1,2,4,1,0,0,4,3,2,1
O900053,2024-03-30,2024-04-05,No,,North America,United States,Seattle,S013,Tech & Home - Seattle,Mall,Online,High,Card,NONE,No Promotion,C01068,Business,Silver,E0037,Corporate,P0103,SKU-100102,Asus Laptops Plus,Electronics,Laptops,Asus,2,1103,1452,0,232,60,2904,2904,2206,698
O900054,2024-11-10,2024-11-12,No,,Europe,United Kingdom,London,S017,ValueMart - London,High Street,Online,Normal,Card,WEEKEND10,Weekend 10%,C00399,Business,None,E0005,Corporate,P0074,SKU-100073,Local Women Standard (L),Clothing,Women,Local,1,60,86,9,6,0,86,77,60,17
O900055,2024-01-08,2024-01-14,No,,Africa,South Africa,Durban,S003,Everyday Store - Durban,Mall,Online,Normal,Card,BUNDLE12,Bundle 12%,C00819,Family,Bronze,E0046,Customer Care,P0071,SKU-100070,Local Beverages Standard,Grocery,Beverages,Local,1,21,26,4,3,0,26,22,21,1
O900056,2024-04-09,2024-04-13,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Partner,Normal,Card,NONE,No Promotion,C00713,Family,None,E0045,Upgrades,P0150,SKU-100149,Samsung Appliances Standard,Home,Appliances,Samsung,2,854,1025,41,161,60,2050,2009,1708,301
O900057,2024-09-19,,No,,Europe,United Kingdom,London,S017,ValueMart - London,High Street,In-Store,Low,Card,BUNDLE12,Bundle 12%,C01145,Business,None,E0010,New Sales,P0028,SKU-100027,Local Household Eco,Grocery,Household,Local,1,28,35,6,2,0,35,29,28,1
O900058,2024-08-22,2024-08-28,No,,North America,United States,Los Angeles,S015,Main Street Retail - Los Angeles,Warehouse,Online,High,EFT,NONE,No Promotion,C01154,Budget,Silver,E0062,New Sales,P0097,SKU-100096,Lenovo Laptops Air,Electronics,Laptops,Lenovo,2,1239,1655,99,257,60,3310,3211,2478,733
O900059,2024-10-01,2024-10-02,No,,Africa,South Africa,Durban,S003,Everyday Store - Durban,Mall,Online,Normal,Card,CLEARANCE15,Clearance 15%,C00452,Student,Gold,E0030,Corporate,P0098,SKU-100097,Logitech Accessories Max,Electronics,Accessories,Logitech,1,492,872,131,111,45,872,741,492,249
O900060,2024-05-17,,No,,North America,United States,Austin,S011,City Outlet - Austin,Mall,In-Store,High,Card,WEEKEND10,Weekend 10%,C01136,Business,None,E0023,Customer Care,P0020,SKU-100019,Russell Hobbs Kitchen Eco,Home,Kitchen,Russell Hobbs,1,980,1213,158,84,0,1213,1055,980,75
O900061,2024-07-01,,No,,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,In-Store,Normal,Wallet,NONE,No Promotion,C00544,Student,Gold,E0027,Customer Care,P0062,SKU-100061,Local Household Eco,Grocery,Household,Local,1,30,37,0,6,0,37,37,30,7
O900062,2024-06-10,2024-06-14,No,,Europe,United Kingdom,London,S016,Everyday Store - London,Mall,Partner,Normal,Wallet,CLEARANCE15,Clearance 15%,C00014,Family,None,E0070,Customer Care,P0158,SKU-100157,Local Household Value,Grocery,Household,Local,4,7,11,8,3,80,44,36,28,8
O900063,2024-08-04,2024-08-08,No,,Europe,United Kingdom,London,S017,ValueMart - London,High Street,Online,Normal,Card,BUNDLE12,Bundle 12%,C00815,Family,None,E0029,New Sales,P0072,SKU-100071,Lenovo Laptops Basic,Electronics,Laptops,Lenovo,1,1294,1564,219,108,80,1564,1345,1294,51
O900064,2024-04-17,,No,,Africa,Kenya,Nairobi,S006,Everyday Store - Nairobi,High Street,In-Store,Low,EFT,BUNDLE12,Bundle 12%,C00247,Business,None,E0067,New Sales,P0118,SKU-100117,Apple Phones Air,Electronics,Phones,Apple,2,1036,1587,381,419,0,3174,2793,2072,721
O900065,2024-07-06,,No,,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,In-Store,Normal,Card,LOYALTY5,Loyalty 5%,C00384,Family,None,E0034,Corporate,P0067,SKU-100066,Tefal Kitchen Premium,Home,Kitchen,Tefal,1,95,128,10,9,0,128,118,95,23
O900066,2024-12-17,,No,,North America,United States,Chicago,S012,Main Street Retail - Chicago,Outlet,In-Store,High,Card,NONE,No Promotion,C00821,Business,Silver,E0036,Customer Care,P0094,SKU-100093,Belkin Accessories Air,Electronics,Accessories,Belkin,1,1562,2138,43,168,0,2138,2095,1562,533
O900067,2024-01-05,,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,In-Store,Low,Finance,LOYALTY5,Loyalty 5%,C00781,Business,Silver,E0026,Customer Care,P0111,SKU-100110,Apple Phones Plus,Electronics,Phones,Apple,1,1827,2201,176,162,0,2201,2025,1827,198
O900068,2024-10-17,2024-10-18,No,,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,Online,Normal,Card,WEEKEND10,Weekend 10%,C01094,Family,Silver,E0041,New Sales,P0133,SKU-100132,Belkin Accessories Air,Electronics,Accessories,Belkin,1,931,1462,146,105,60,1462,1316,931,385
O900069,2024-10-12,2024-10-19,No,,North America,United States,New York,S009,ValueMart - New York,Warehouse,Online,Normal,Card,NONE,No Promotion,C00198,Student,Bronze,E0058,Customer Care,P0122,SKU-100121,Bosch Cleaning Eco,Home,Cleaning,Bosch,1,227,285,9,22,45,285,276,227,49
O900070,2024-12-10,,No,,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,In-Store,Normal,EFT,LOYALTY5,Loyalty 5%,C01182,Budget,None,E0069,New Sales,P0051,SKU-100050,Local Men Eco (S),Clothing,Men,Local,2,80,99,16,15,0,198,182,160,22
O900071,2024-06-21,2024-06-25,No,,North America,United States,Seattle,S013,Tech & Home - Seattle,Mall,Online,Low,Card,LOYALTY5,Loyalty 5%,C00587,Budget,Gold,E0060,New Sales,P0158,SKU-100157,Local Household Value,Grocery,Household,Local,2,7,11,1,2,80,22,21,14,7
O900072,2024-07-21,2024-07-24,No,,North America,United States,Austin,S011,City Outlet - Austin,Mall,Online,Normal,EFT,CLEARANCE15,Clearance 15%,C00643,Budget,None,E0041,New Sales,P0059,SKU-100058,Acer Laptops Basic,Electronics,Laptops,Acer,4,1984,2435,1948,623,60,9740,7792,7936,-144
O900073,2024-05-08,2024-05-14,No,,North America,United States,Los Angeles,S015,Main Street Retail - Los Angeles,Warehouse,Online,Normal,Card,WEEKEND10,Weekend 10%,C00343,Business,None,E0024,Customer Care,P0106,SKU-100105,Samsung Tablets Pro,Electronics,Tablets,Samsung,1,1692,2241,291,156,0,2241,1950,1692,258
O900074,2024-02-12,,No,,Africa,South Africa,Durban,S003,Everyday Store - Durban,Mall,In-Store,Normal,Card,CLEARANCE15,Clearance 15%,C01124,Budget,Gold,E0007,Upgrades,P0122,SKU-100121,Bosch Cleaning Eco,Home,Cleaning,Bosch,1,227,285,57,34,0,285,228,227,1
O900075,2024-03-08,,Yes,2024-03-20,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,In-Store,Normal,Card,WEEKEND10,Weekend 10%,C00634,Business,Gold,E0030,Corporate,P0100,SKU-100099,Anker Accessories Basic,Electronics,Accessories,Anker,2,813,1463,293,211,0,2926,2633,1626,1007
O900076,2024-12-23,2024-12-28,No,,North America,United States,Austin,S011,City Outlet - Austin,Mall,Partner,Low,Card,BUNDLE12,Bundle 12%,C00957,Budget,None,E0070,Customer Care,P0122,SKU-100121,Bosch Cleaning Eco,Home,Cleaning,Bosch,2,227,285,86,39,30,570,484,454,30
O900077,2024-09-03,2024-09-08,No,,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,Online,High,Card,NONE,No Promotion,C00891,Family,Silver,E0068,Corporate,P0145,SKU-100144,Lenovo Laptops Air,Electronics,Laptops,Lenovo,4,1852,2189,263,679,30,8756,8493,7408,1085
O900078,2024-03-10,,No,,North America,United States,Los Angeles,S014,Tech & Home - Los Angeles,Mall,In-Store,Normal,Card,CLEARANCE15,Clearance 15%,C00319,Student,None,E0039,Customer Care,P0067,SKU-100066,Tefal Kitchen Premium,Home,Kitchen,Tefal,1,95,128,23,8,0,128,105,95,10
O900079,2024-01-04,2024-01-09,No,,Europe,United Kingdom,London,S016,Everyday Store - London,Mall,Online,Normal,Wallet,LOYALTY5,Loyalty 5%,C00614,Budget,None,E0002,Corporate,P0123,SKU-100122,Samsung Phones Pro,Electronics,Phones,Samsung,1,402,528,53,38,45,528,475,402,73
O900080,2024-09-21,,No,,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,In-Store,Normal,Card,BUNDLE12,Bundle 12%,C00799,Family,None,E0049,Customer Care,P0042,SKU-100041,Local Beverages Value,Grocery,Beverages,Local,4,27,37,21,19,0,148,127,108,19
O900081,2024-11-22,2024-11-26,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Online,Normal,Card,CLEARANCE15,Clearance 15%,C00846,Business,None,E0025,New Sales,P0069,SKU-100068,Samsung Phones Basic,Electronics,Phones,Samsung,2,1931,2296,918,294,80,4592,3674,3862,-188
O900082,2024-05-24,2024-05-27,No,,North America,United States,Austin,S011,City Outlet - Austin,Mall,Partner,High,Cash,LOYALTY5,Loyalty 5%,C00312,Enterprise,Silver,E0007,Upgrades,P0005,SKU-100004,Anker Accessories Pro,Electronics,Accessories,Anker,3,502,818,123,186,30,2454,2331,1506,825
O900083,2024-07-09,,No,,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,In-Store,Normal,Card,NONE,No Promotion,C01011,Family,Bronze,E0028,New Sales,P0004,SKU-100003,LG Appliances Eco,Home,Appliances,LG,2,72,93,4,27,0,186,182,144,38
O900084,2024-05-08,,No,,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,In-Store,Low,Card,LOYALTY5,Loyalty 5%,C00546,Budget,None,E0051,New Sales,P0015,SKU-100014,Philips Cleaning Premium,Home,Cleaning,Philips,4,995,1422,284,811,0,5688,5404,3980,1424
O900085,2024-02-18,2024-02-23,No,,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,Online,Normal,Cash,LOYALTY5,Loyalty 5%,C00908,Budget,Bronze,E0032,New Sales,P0099,SKU-100098,Apple Tablets Pro,Electronics,Tablets,Apple,2,927,1191,167,332,30,2382,2215,1854,361
O900086,2024-07-03,,No,,Africa,Kenya,Nairobi,S006,Everyday Store - Nairobi,High Street,In-Store,Normal,Card,WEEKEND10,Weekend 10%,C00087,Family,None,E0067,New Sales,P0162,SKU-100161,Google Phones Air,Electronics,Phones,Google,1,1068,1278,128,172,0,1278,1150,1068,82
